designation,perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,reference
101P,2020,1,7.524447845646968,2.325040734137612,0.5978489621995254,277.4145314543655,116.6100450504392,5.033218039468318,13.7,4.5,JPL K202/4
101P-B,2005,12,24.389344210680648,2.350527046947969,0.5947203403123665,263.1851639654208,130.2337768015298,5.078327540984246,13.0,10.0,JPL 5
102P,2013,9,1.156015054729676,1.968583264509834,0.4731654920192473,18.74460239787177,339.8733382485834,26.2449062377407,16.2,5.5,JPL K213/2
103P,2010,10,28.306162022187824,1.060463108084001,0.6946634807026749,181.2896577307742,219.7506343195598,13.61966562968585,16.1,4.5,JPL K234/17
104P,2022,1,11.617474039560255,1.073098415756543,0.6654527191420735,227.2458876459766,207.2135256417651,5.701090049412283,14.6,12.75,JPL K222/11
105P,2012,2,26.195786503360846,2.050833442476216,0.4092903547464972,46.6827608522571,192.420042683955,9.170614994406176,13.8,9.75,JPL 46
106P,2014,7,20.462870651605982,1.540696249699223,0.5895321751830986,355.9826443985049,50.32239739473352,20.19768532684756,11.2,22.5,JPL 39
108P,2021,10,11.228166507824456,1.526125116349005,0.5810134476572392,356.8617072910779,52.40239463092706,13.98015613499469,10.9,19.5,JPL K212/19
109P,1992,12,11.999784563313206,0.959516155068868,0.963225755046038,152.9821676305871,139.3811920815948,113.453816997171,4.5,15.0,JPL 32
110P,2014,12,16.677426538660878,2.464450156367088,0.3162802737463254,167.3956117240493,287.5295729652127,11.69836175150857,4.3,26.75,JPL K212/36
111P,2013,1,30.629239932338194,3.704303387230362,0.1096207704078609,3.37794152502789,89.79399820609125,4.228807042165645,8.4,17.0,JPL 8
112P,2013,6,24.500860752402406,1.458797689159836,0.5874927433257943,21.35220190190807,31.9318348258102,24.20145291581962,14.5,15.0,JPL 35
113P,2015,4,23.754477517426274,2.118853262702127,0.4244825430874336,50.02270167042557,14.38601270856959,5.776324304049313,14.3,8.25,JPL 78
114P,2020,1,14.238377747092766,1.57940877101019,0.5544796058473015,172.8433660991442,271.062057267607,18.27303859921894,13.9,12.25,JPL K203/20
115P,2011,10,5.03766992824706,2.057402622891182,0.5182955789513104,121.1138086020009,176.0779968908898,11.66972861001243,13.0,10.5,JPL 43
116P,2016,1,11.527832791767997,2.187086604138816,0.3722890057601753,173.311134578031,20.99193949514943,3.607854117648351,7.6,17.25,JPL K223/41
117P,2014,3,27.030661861697652,3.050726318065864,0.2545939144623446,222.4999555546315,58.87479410594549,8.701252503918873,6.5,13.5,JPL K222/71
118P,2022,11,23.199686040231136,1.831170690834888,0.4548714767341639,314.4885365878649,142.1151844265338,10.09554556466913,12.3,11.0,JPL K222/45
119P,2014,4,3.7910518023143056,3.025409665983067,0.2953767115295149,181.7345020906843,243.8231804615536,5.184136399025603,9.6,13.0,JPL 107
120P,2004,9,29.436965219586043,2.743862527603342,0.3365387805794772,30.00802529800133,4.442766953653403,8.79119538756936,6.6,26.25,JPL 25
121P,2004,9,3.4988882394623264,2.651067890522655,0.3398840197689508,6.85884377622388,99.41001637723181,17.74012104006194,6.0,19.75,JPL 57
122P,1995,10,6.000173395021794,0.6593373359243724,0.9627088867609728,12.99609193700053,79.62450068849807,85.38275311444475,7.5,10.0,JPL 27
123P,2019,2,4.339864870134027,2.126106874531257,0.4492702213969574,102.9184468350662,46.52737304496928,15.3545455772283,8.2,18.0,JPL K192/7
124P,2014,4,9.617845379462858,1.645339696248072,0.5038758219381473,183.7127601527539,0.4145440062149483,31.52900577034607,16.5,4.5,JPL 62
125P,2013,2,17.383217154138034,1.525211994136073,0.5120401837068013,87.29359844035815,153.1877488061983,9.986457950401826,12.6,17.0,JPL 32
126P,2023,7,7.044061110528218,1.719302174369405,0.695315837256002,356.5075206958376,357.8208269078328,45.79253529521293,13.3,5.0,JPL K233/19
127P,2016,3,17.830416524514884,2.205833957570951,0.3607328777739897,6.714841747590347,13.65125582678758,14.30208209329517,10.5,20.0,JPL K223/25
128P,2017,1,10.139049537785127,3.054379357180198,0.3220169800985928,210.4973348075075,214.3433433088412,4.363311993562433,6.8,19.5,JPL K172/11
128P-A,2017,5,6.69693506063037,3.034620890006818,0.3341244560473043,210.5667859053697,214.4009006383635,4.353888335077986,8.5,10.0,JPL 11
128P-B,1997,11,20.28878194448508,3.047035099236322,0.3212585112842391,210.2169312978122,214.5275829560614,4.361724121462829,5.6,19.0,JPL 33
129P,2014,1,31.258864642555057,3.911973332383282,0.09698258206556558,307.2810697138458,185.8726370397048,3.439154398995733,14.3,4.5,JPL K223/25
130P,2011,6,25.03823937254766,2.098278564919334,0.4074623309746413,224.4707403595188,89.78394835488493,7.308908751165531,13.0,9.75,JPL 54
131P,2012,1,7.845765989590405,2.417741522532803,0.3430115020043426,179.633855733234,214.2265569436209,7.355164099867491,8.6,23.25,JPL 39
132P,2021,11,13.10646812946787,1.691774562677133,0.5646963015397318,216.3455183337611,173.9965717117403,5.382515459832148,10.2,22.25,JPL K212/19
134P,2014,5,21.447668658122176,2.571724794237012,0.5871533464284463,18.56022478846696,202.1234304908432,4.348710731845402,5.3,21.0,JPL 21
135P,1999,12,10.501769919687616,2.716889808171911,0.290228512052446,22.69803361026777,213.3619830482647,6.050580893903847,7.0,17.0,JPL 18
136P,2016,5,31.53057082321815,2.975898098358854,0.2915819369171432,225.3034679345716,137.4689521370854,9.415533385198206,7.2,19.25,JPL K162/3
137P,2018,12,14.098979508835463,1.93332834692754,0.5720565585180254,140.9894370953711,233.0733175603688,4.850374250887996,15.4,4.5,JPL 44
138P,2005,7,19.904319549401887,1.707302198226694,0.5294518760783127,95.64910660338207,309.4417698756743,10.07952060977841,16.7,8.0,JPL 19
139P,2008,4,20.442383013299512,3.40292120840971,0.2475258895835873,165.7253966892989,242.3775854441777,2.328730212472332,7.2,18.0,JPL 41
140P,1999,5,14.81192901966566,1.97187717420617,0.691761661370916,173.0867710151257,343.4564572071254,3.83582756854885,11.5,15.0,JPL 25
141P,2020,12,15.950450300587338,0.804305202672772,0.7367075034534182,153.6171477469059,241.8770902984392,13.97777678047089,17.3,4.5,JPL K202/12
141P-A,1999,12,9.60309554877368,0.751174367939751,0.7504734077906811,149.244253309364,246.1551562177739,12.79337930969478,12.0,30.0,JPL 79
141P-D,1999,12,9.953125776697616,0.7489599354244401,0.7510941447488013,149.2924228695888,246.14177171,12.81198253165266,12.5,30.0,JPL 12
141P-I,2020,12,15.859699660358658,0.8080157147431282,0.7364647367107492,153.5653041962972,241.8153010929951,13.9516147070705,19.8,4.5,JPL 3
142P,2010,5,30.335959643165094,2.487899805037249,0.4997247366828084,175.6880638030689,176.5196635181199,12.30744041925859,10.1,18.75,JPL K213/4
143P,2018,5,9.082813418533009,2.540813685244805,0.4088093092435588,320.7831085608001,245.3211164475488,4.689746260039139,14.5,4.5,JPL 95
144P,2016,8,31.133833302847407,1.43107679143584,0.6292963610192831,216.1847768167639,245.4564057751946,4.11726727811846,6.9,28.5,JPL K242/3
145P,2017,8,31.834462127526226,1.901601963988758,0.5409816392416366,10.42031025289311,26.84075894637009,11.26421319155015,13.4,8.25,JPL 32
