perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,designation,reference
2011,10,6.7469,3.605925,0.630111,344.9542,135.3677,9.092,13.0,10.0,2012 C3,MPC 78590
2029,3,18.3658,2.899492,0.5420510000000001,33.308,227.0243,14.7126,12.0,10.0,2012 F2,MPC 84931
2012,6,1.4325,2.584166,0.380722,286.1149,282.544,11.6925,15.0,10.0,2012 G1,MPC 79344
2019,8,17.4992,2.091564,0.423234,172.2078,125.8102,13.1943,15.0,10.0,2012 K3,MPC 80898
2012,6,14.0243,1.294,0.847092,338.359,315.5471,84.6593,14.5,10.0,2012 NJ,MPC 88326
2019,3,2.6838,1.4355200000000001,0.594588,238.2574,91.9695,7.4305,17.5,10.0,2012 O1,MPC 81470
2019,5,6.1506,1.694062,0.532611,183.4474,120.6814,24.4839,17.0,10.0,2012 O2,MPC 80899
2022,5,29.7662,1.614069,0.647,344.7463,336.4148,16.616,16.5,10.0,2012 O3,MPC 82720
2027,1,14.5665,4.807305,0.16156900000000002,310.4919,73.7194,12.5605,10.0,10.0,2012 T2,MPC 82320
2027,8,6.6658,2.354545,0.617225,195.4896,114.4004,9.566,15.0,10.0,2012 T3,MPC 80900
2021,10,25.6774,2.995431,0.27418400000000004,128.0254,288.965,6.34,13.0,10.0,2012 TK8,MPEC 2021-T44
2012,11,10.1117,3.5776470000000002,0.49876800000000004,228.2521,185.3056,10.7562,12.5,10.0,2012 U2,MPC 82720
2024,10,21.6757,1.8196259999999997,0.6477970000000001,0.8021,49.1851,39.3505,13.5,10.0,2012 US27,MPC 84024
2023,7,4.122,3.0847439999999997,0.346177,355.2738,93.9075,6.0814,13.5,10.0,2012 WA34,MPC 82721
2029,6,29.3543,2.037814,0.686341,27.0765,145.9865,144.8478,16.0,10.0,2013 AL76,MPC 82721
2013,12,12.7779,3.3597550000000003,0.5124810000000001,51.4756,221.3668,5.463,11.0,10.0,2013 G1,MPC 91612
2022,6,19.4462,2.622073,0.409458,214.6702,339.6379,5.9165,15.0,10.0,2013 G4,MPC 84025
2029,3,8.2926,2.130138,0.657683,37.7771,289.407,15.5279,13.0,10.0,2013 J2,MPC 91613
2014,2,16.861,3.005963,0.593337,323.9137,17.4655,2.1739,13.0,10.0,2013 N3,MPC 86229
2013,7,4.3152,1.8198349999999999,0.7322960000000001,176.9046,187.1578,23.4465,17.0,10.0,2013 N5,MPC 85834
2013,3,2.1151,3.380718,0.605701,138.1865,160.5912,18.725,12.0,10.0,2013 P1,MPC 85834
2024,3,19.9971,2.198066,0.27536900000000003,11.1884,341.9997,0.8652,14.0,10.0,2013 R3,MPC 94671
2024,3,19.7392,2.198055,0.275339,11.2274,341.9665,0.8646,9.0,10.0,2013 R3-A,unp
2024,3,20.1356,2.198076,0.275384,11.1623,342.0224,0.8659,9.0,10.0,2013 R3-B,MPEC 2015-M77
2027,10,10.4588,2.202675,0.624079,346.1129,10.0813,24.2936,16.5,10.0,2013 T1,MPC 85835
2019,11,30.734,1.74088,0.501261,345.5285,0.803,9.4571,16.0,10.0,2013 T2,MPC 86643
2020,9,10.2606,1.4211260000000001,0.592724,1.2693,117.847,4.6955,17.5,10.0,2013 W1,MPC 91613
2023,1,6.1757,1.7856040000000002,0.45486499999999996,242.5557,48.844,7.8563,10.0,10.0,2013 YG46,MPC101095
2028,3,17.8908,2.10255,0.645279,356.1842,106.6297,24.5353,15.0,10.0,2014 A2,MPC 89728
2023,4,19.672,3.4762199999999996,0.24743600000000002,213.6235,230.023,13.698,12.0,10.0,2014 A3,MPC 92981
